company_name,isin,nse_symbol,nse_company_name,series,sector,industry,macro,basic_industry
Eureka Forbes Limited,INE0KCE01017,EUREKAFORB,Eureka Forbes Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Household Appliances
Euro Panel Products Limited,INE505V01016,EUROBOND,Euro Panel Products Limited,EQ,Capital Goods,Industrial Products,Industrials,Aluminium Copper & Zinc Products
Euro Pratik Sales Limited,INE198501012,EUROPRATIK,Euro Pratik Sales Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Furniture Home Furnishing
Eurotex Industries and Exports Limited,INE022C01012,EUROTEXIND,Eurotex Industries and Exports Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Eveready Industries India Limited,INE128A01029,EVEREADY,Eveready Industries India Limited,EQ,Fast Moving Consumer Goods,Household Products,Fast Moving Consumer Goods,Household Products
Everest Industries Limited,INE295A01018,EVERESTIND,Everest Industries Limited,EQ,Construction Materials,Other Construction Materials,Commodities,Other Construction Materials
Excel Realty N Infra Limited,INE688J01023,EXCEL,Excel Realty N Infra Limited,EQ,Services,Commercial Services & Supplies,Services,Trading & Distributors
Excel Industries Limited,INE369A01029,EXCELINDUS,Excel Industries Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Excelsoft Technologies Limited,INE606N01019,EXCELSOFT,Excelsoft Technologies Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Exicom Tele-Systems Limited,INE777F01014,EXICOM,Exicom Tele-Systems Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Heavy Electrical Equipment
Exide Industries Limited,INE302A01020,EXIDEIND,Exide Industries Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Expleo Solutions Limited,INE201K01015,EXPLEOSOL,Expleo Solutions Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Exxaro Tiles Limited,INE0GFE01026,EXXARO,Exxaro Tiles Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Ceramics
Fabtech Technologies Limited,INE0HF201011,FABTECH,Fabtech Technologies Limited,EQ,Healthcare,Healthcare Equipment & Supplies,Healthcare,Medical Equipment & Supplies
Fertilizers and Chemicals Travancore Limited,INE188A01015,FACT,Fertilizers and Chemicals Travancore Limited,EQ,Chemicals,Fertilizers & Agrochemicals,Commodities,Fertilizers
Fairchem Organics Limited,INE0DNW01011,FAIRCHEMOR,Fairchem Organics Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Faze Three Limited,INE963C01033,FAZE3Q,Faze Three Limited,BE,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Fineotex Chemical Limited,INE045J01034,FCL,Fineotex Chemical Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
FCS Software Solutions Limited,INE512B01022,FCSSOFT,FCS Software Solutions Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
FDC Limited,INE258B01022,FDC,FDC Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
The Federal Bank  Limited,INE171A01029,FEDERALBNK,The Federal Bank  Limited,EQ,Financial Services,Banks,Financial Services,Private Sector Bank
Fedbank Financial Services Limited,INE007N01010,FEDFINA,Fedbank Financial Services Limited,EQ,Financial Services,Finance,Financial Services,Non Banking Financial Company (NBFC)
Future Enterprises Limited,INE623B01027,FEL,Future Enterprises Limited,BZ,Consumer Services,Retailing,Consumer Discretionary,Diversified Retail
Future Enterprises Limited,IN9623B01058,FELDVR,Future Enterprises Limited,BZ,Consumer Services,Retailing,Consumer Discretionary,Diversified Retail
Fiberweb (India) Limited,INE296C01020,FIBERWEB,Fiberweb (India) Limited,BE,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Fiem Industries Limited,INE737H01014,FIEMIND,Fiem Industries Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Filatex India Limited,INE816B01035,FILATEX,Filatex India Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Filatex Fashions Limited,INE185E01021,FILATFASH,Filatex Fashions Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Garments & Apparels
Finolex Cables Limited,INE235A01022,FINCABLES,Finolex Cables Limited,EQ,Capital Goods,Industrial Products,Industrials,Cables - Electricals
Fine Organic Industries Limited,INE686Y01026,FINEORG,Fine Organic Industries Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Finkurve Financial Services Limited,INE734I01027,FINKURVE,Finkurve Financial Services Limited,EQ,Financial Services,Finance,Financial Services,Non Banking Financial Company (NBFC)
Fino Payments Bank Limited,INE02NC01014,FINOPB,Fino Payments Bank Limited,EQ,Financial Services,Banks,Financial Services,Other Bank
Finolex Industries Limited,INE183A01024,FINPIPE,Finolex Industries Limited,EQ,Capital Goods,Industrial Products,Industrials,Plastic Products - Industrial
Brainbees Solutions Limited,INE02RE01045,FIRSTCRY,Brainbees Solutions Limited,EQ,Consumer Services,Retailing,Consumer Discretionary,E-Retail/ E-Commerce
Fischer Medical Ventures Limited,INE771F01041,FISCHER,Fischer Medical Ventures Limited,EQ,Healthcare,Healthcare Equipment & Supplies,Healthcare,Medical Equipment & Supplies
Five-Star Business Finance Limited,INE128S01021,FIVESTAR,Five-Star Business Finance Limited,EQ,Financial Services,Finance,Financial Services,Non Banking Financial Company (NBFC)
Flair Writing Industries Limited,INE00Y201027,FLAIR,Flair Writing Industries Limited,EQ,Fast Moving Consumer Goods,Household Products,Fast Moving Consumer Goods,Stationary
Flexituff Ventures International Limited,INE060J01017,FLEXITUFF,Flexituff Ventures International Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Future Lifestyle Fashions Limited,INE452O01016,FLFL,Future Lifestyle Fashions Limited,BZ,Consumer Services,Retailing,Consumer Discretionary,Diversified Retail
Gujarat Fluorochemicals Limited,INE09N301011,FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Federal-Mogul Goetze (India) Limited.,INE529A01010,FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Future Market Networks Limited,INE360L01017,FMNL,Future Market Networks Limited,EQ,Services,Commercial Services & Supplies,Services,Diversified Commercial Services
Focus Lighting and Fixtures Limited,INE593W01028,FOCUS,Focus Lighting and Fixtures Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Consumer Electronics
Foods & Inns Limited,INE976E01023,FOODSIN,Foods & Inns Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Packaged Foods
FORCE MOTORS LTD,INE451A01017,FORCEMOT,FORCE MOTORS LTD,EQ,Automobile and Auto Components,Automobiles,Consumer Discretionary,Passenger Cars & Utility Vehicles
Fortis Healthcare Limited,INE061F01013,FORTIS,Fortis Healthcare Limited,EQ,Healthcare,Healthcare Services,Healthcare,Hospital
Foseco India Limited,INE519A01011,FOSECOIND,Foseco India Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Fractal Analytics Limited,INE212S01015,FRACTAL,Fractal Analytics Limited,EQ,Information Technology,IT - Software,Information Technology,Computers - Software & Consulting
Firstsource Solutions Limited,INE684F01012,FSL,Firstsource Solutions Limited,EQ,Services,Commercial Services & Supplies,Services,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Fusion Finance Limited,INE139R01012,FUSION,Fusion Finance Limited,EQ,Financial Services,Finance,Financial Services,Microfinance Institutions
Gabriel India Limited,INE524A01029,GABRIEL,Gabriel India Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Gujarat Ambuja Exports Limited,INE036B01030,GAEL,Gujarat Ambuja Exports Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Other Agricultural Products
GAIL (India) Limited,INE129A01019,GAIL,GAIL (India) Limited,EQ,Oil Gas & Consumable Fuels,Gas,Energy,Gas Transmission/Marketing
Gala Precision Engineering Limited,INE0RE001014,GALAPREC,Gala Precision Engineering Limited,EQ,Capital Goods,Industrial Manufacturing,Industrials,Industrial Products
Galaxy Surfactants Limited,INE600K01018,GALAXYSURF,Galaxy Surfactants Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Gallantt Ispat Limited,INE297H01019,GALLANTT,Gallantt Ispat Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Gandhar Oil Refinery (India) Limited,INE717W01049,GANDHAR,Gandhar Oil Refinery (India) Limited,EQ,Oil Gas & Consumable Fuels,Petroleum Products,Energy,Lubricants
Gandhi Special Tubes Limited,INE524B01027,GANDHITUBE,Gandhi Special Tubes Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Ganesha Ecosphere Limited,INE845D01014,GANECOS,Ganesha Ecosphere Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Ganesh Benzoplast Limited,INE388A01029,GANESHBE,Ganesh Benzoplast Limited,EQ,Oil Gas & Consumable Fuels,Oil,Energy,Oil Storage & Transportation
Ganesh Consumer Products Limited,INE652V01016,GANESHCP,Ganesh Consumer Products Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Packaged Foods
GANESH HOUSING LIMITED,INE460C01014,GANESHHOU,GANESH HOUSING LIMITED,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Ganga Forging Limited,INE691Z01023,GANGAFORGE,Ganga Forging Limited,EQ,Capital Goods,Industrial Products,Industrials,Castings & Forgings
Ganges Securities Limited,INE335W01016,GANGESSECU,Ganges Securities Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Tea & Coffee
Garware Technical Fibres Limited,INE276A01018,GARFIBRES,Garware Technical Fibres Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Garuda Construction and Engineering Limited,INE0JVO01026,GARUDA,Garuda Construction and Engineering Limited,EQ,Construction,Construction,Industrials,Civil Construction
GACM Technologies Limited,INE224E01028,GATECH,GACM Technologies Limited,EQ,Financial Services,Finance,Financial Services,Other Financial Services
GACM Technologies Limited,INE224E01036,GATECHDVR,GACM Technologies Limited,EQ,Financial Services,Finance,Financial Services,Other Financial Services
Gateway Distriparks Limited,INE079J01017,GATEWAY,Gateway Distriparks Limited,EQ,Services,Transport Services,Services,Logistics Solution Provider
Gaudium IVF and Women Health Limited,INE0P8B01020,GAUDIUMIVF,Gaudium IVF and Women Health Limited,EQ,Healthcare,Healthcare Services,Healthcare,Healthcare Service Provider
Gayatri Highways Limited,INE287Z01012,GAYAHWS,Gayatri Highways Limited,EQ,Services,Transport Infrastructure,Services,Road Assets - Toll Annuity Hybrid-Annuity
Gretex Corporate Services Limited,INE199P01028,GCSL,Gretex Corporate Services Limited,BE,Financial Services,Capital Markets,Financial Services,Other Capital Market related Services
GeeCee Ventures Limited,INE916G01016,GEECEE,GeeCee Ventures Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Geekay Wires Limited,INE669X01032,GEEKAYWIRE,Geekay Wires Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Gem Aromatics Limited,INE06XZ01023,GEMAROMA,Gem Aromatics Limited,BE,Chemicals,Chemicals & Petrochemicals,Commodities,Specialty Chemicals
Generic Engineering Construction and Projects Limited,INE854S01022,GENCON,Generic Engineering Construction and Projects Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Genesys International Corporation Limited,INE727B01026,GENESYS,Genesys International Corporation Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
Genus Paper & Boards Limited,INE949P01018,GENUSPAPER,Genus Paper & Boards Limited,EQ,Forest Materials,Paper Forest & Jute Products,Commodities,Paper & Paper Products
Genus Power Infrastructures Limited,INE955D01029,GENUSPOWER,Genus Power Infrastructures Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Other Electrical Equipment
Geojit Financial Services Limited,INE007B01023,GEOJITFSL,Geojit Financial Services Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
The Great Eastern Shipping Company Limited,INE017A01032,GESHIP,The Great Eastern Shipping Company Limited,EQ,Services,Transport Services,Services,Shipping
GFL Limited,INE538A01037,GFLLIMITED,GFL Limited,EQ,Financial Services,Finance,Financial Services,Holding Company
GHCL Limited,INE539A01019,GHCL,GHCL Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Commodity Chemicals
GHCL Textiles Limited,INE0PA801013,GHCLTEXTIL,GHCL Textiles Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
GIC Housing Finance Limited,INE289B01019,GICHSGFIN,GIC Housing Finance Limited,EQ,Financial Services,Finance,Financial Services,Housing Finance Company
Globe International Carriers Limited,INE947T01022,GICL,Globe International Carriers Limited,EQ,Services,Transport Services,Services,Logistics Solution Provider
General Insurance Corporation of India,INE481Y01014,GICRE,General Insurance Corporation of India,EQ,Financial Services,Insurance,Financial Services,General Insurance
Gillanders Arbuthnot & Company Limited,INE047B01011,GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Tea & Coffee
Gillette India Limited,INE322A01010,GILLETTE,Gillette India Limited,EQ,Fast Moving Consumer Goods,Personal Products,Fast Moving Consumer Goods,Personal Care
Ginni Filaments Limited,INE424C01010,GINNIFILA,Ginni Filaments Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Gujarat Industries Power Company Limited,INE162A01010,GIPCL,Gujarat Industries Power Company Limited,EQ,Power,Power,Utilities,Power Generation
GK Energy Limited,INE1AG301022,GKENERGY,GK Energy Limited,EQ,Construction,Construction,Industrials,Civil Construction
Gujarat Kidney And Super Speciality Limited,INE0V0W01025,GKSL,Gujarat Kidney And Super Speciality Limited,EQ,Healthcare,Healthcare Services,Healthcare,Hospital
GKW Limited,INE528A01020,GKWLIMITED,GKW Limited,EQ,Financial Services,Finance,Financial Services,Investment Company
Gland Pharma Limited,INE068V01023,GLAND,Gland Pharma Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
GlaxoSmithKline Pharmaceuticals Limited,INE159A01016,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Glenmark Pharmaceuticals Limited,INE935A01035,GLENMARK,Glenmark Pharmaceuticals Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Gujarat Lease Financing Limited,INE540A01017,GLFL,Gujarat Lease Financing Limited,BE,Financial Services,Finance,Financial Services,Other Financial Services
Global Education Limited,INE291W01037,GLOBAL,Global Education Limited,EQ,Consumer Services,Other Consumer Services,Consumer Discretionary,Education
Globale Tessile Limited,INE0URU01010,GLOBALE,Globale Tessile Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Trading - Textile Products
Global Vectra Helicorp Limited,INE792H01019,GLOBALVECT,Global Vectra Helicorp Limited,EQ,Services,Transport Services,Services,Airline
GLOBE ENTERPRISES (INDIA) LIMITED,INE581X01021,GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Other Textile Products
Globe Civil Projects Limited,INE0V3U01015,GLOBECIVIL,Globe Civil Projects Limited,EQ,Construction,Construction,Industrials,Civil Construction
Globus Spirits Limited,INE615I01010,GLOBUSSPR,Globus Spirits Limited,EQ,Fast Moving Consumer Goods,Beverages,Fast Moving Consumer Goods,Breweries & Distilleries
Gloster Limited,INE350Z01018,GLOSTERLTD,Gloster Limited,EQ,Forest Materials,Paper Forest & Jute Products,Commodities,Jute & Jute Products
Glottis Limited,INE0TQE01026,GLOTTIS,Glottis Limited,EQ,Services,Transport Services,Services,Logistics Solution Provider
GM Breweries Limited,INE075D01018,GMBREW,GM Breweries Limited,EQ,Fast Moving Consumer Goods,Beverages,Fast Moving Consumer Goods,Breweries & Distilleries
Gujarat Mineral Development Corporation Limited,INE131A01031,GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,Metals & Mining,Minerals & Mining,Commodities,Industrial Minerals
GMM Pfaudler Limited,INE541A01023,GMMPFAUDLR,GMM Pfaudler Limited,EQ,Capital Goods,Industrial Manufacturing,Industrials,Industrial Products
GMR AIRPORTS LIMITED,INE776C01039,GMRAIRPORT,GMR AIRPORTS LIMITED,EQ,Services,Transport Infrastructure,Services,Airport & Airport services
GMR Power and Urban Infra Limited,INE0CU601026,GMRP&UI,GMR Power and Urban Infra Limited,EQ,Power,Power,Utilities,Power Generation
GNA Axles Limited,INE934S01014,GNA,GNA Axles Limited,EQ,Automobile and Auto Components,Auto Components,Consumer Discretionary,Auto Components & Equipments
Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Commodity Chemicals
Goa Carbon Limited,INE426D01013,GOACARBON,Goa Carbon Limited,EQ,Metals & Mining,Minerals & Mining,Commodities,Industrial Minerals
GOCL Corporation Limited,INE077F01035,GOCLCORP,GOCL Corporation Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Explosives
Go Fashion (India) Limited,INE0BJS01011,GOCOLORS,Go Fashion (India) Limited,EQ,Consumer Services,Retailing,Consumer Discretionary,Speciality Retail
Godavari Biorefineries Limited,INE497S01012,GODAVARIB,Godavari Biorefineries Limited,EQ,Fast Moving Consumer Goods,Diversified FMCG,Fast Moving Consumer Goods,Diversified FMCG
Godfrey Phillips India Limited,INE260B01028,GODFRYPHLP,Godfrey Phillips India Limited,EQ,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Fast Moving Consumer Goods,Cigarettes & Tobacco Products
Go Digit General Insurance Limited,INE03JT01014,GODIGIT,Go Digit General Insurance Limited,EQ,Financial Services,Insurance,Financial Services,General Insurance
Godrej Agrovet Limited,INE850D01014,GODREJAGRO,Godrej Agrovet Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Animal Feed
Godrej Consumer Products Limited,INE102D01028,GODREJCP,Godrej Consumer Products Limited,EQ,Fast Moving Consumer Goods,Personal Products,Fast Moving Consumer Goods,Personal Care
Godrej Industries Limited,INE233A01035,GODREJIND,Godrej Industries Limited,EQ,Diversified,Diversified,Diversified,Diversified
Godrej Properties Limited,INE484J01027,GODREJPROP,Godrej Properties Limited,EQ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Gokaldas Exports Limited,INE887G01027,GOKEX,Gokaldas Exports Limited,EQ,Textiles,Textiles & Apparels,Consumer Discretionary,Garments & Apparels
Gokul Refoils and Solvent Limited,INE020J01029,GOKUL,Gokul Refoils and Solvent Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Edible Oil
Gokul Agro Resources Limited,INE314T01033,GOKULAGRO,Gokul Agro Resources Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Edible Oil
Golden Tobacco Limited,INE973A01010,GOLDENTOBC,Golden Tobacco Limited,BZ,Realty,Realty,Consumer Discretionary,Residential Commercial Projects
Goldiam International Limited,INE025B01025,GOLDIAM,Goldiam International Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Gems Jewellery And Watches
AION-TECH SOLUTIONS LIMITED,INE805A01014,GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,Information Technology,IT - Software,Information Technology,Software Products
Goodluck India Limited,INE127I01024,GOODLUCK,Goodluck India Limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Gopal Snacks Limited,INE0L9R01028,GOPAL,Gopal Snacks Limited,EQ,Fast Moving Consumer Goods,Food Products,Fast Moving Consumer Goods,Packaged Foods
Goyal Aluminiums Limited,INE705X01026,GOYALALUM,Goyal Aluminiums Limited,BE,Services,Commercial Services & Supplies,Services,Trading & Distributors
Godawari Power And Ispat limited,INE177H01039,GPIL,Godawari Power And Ispat limited,EQ,Capital Goods,Industrial Products,Industrials,Iron & Steel Products
Gujarat Pipavav Port Limited,INE517F01014,GPPL,Gujarat Pipavav Port Limited,EQ,Services,Transport Infrastructure,Services,Port & Port services
GPT Healthcare Limited,INE486R01017,GPTHEALTH,GPT Healthcare Limited,EQ,Healthcare,Healthcare Services,Healthcare,Hospital
GPT Infraprojects Limited,INE390G01014,GPTINFRA,GPT Infraprojects Limited,EQ,Construction,Construction,Industrials,Civil Construction
Granules India Limited,INE101D01020,GRANULES,Granules India Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Graphite India Limited,INE371A01025,GRAPHITE,Graphite India Limited,EQ,Capital Goods,Industrial Products,Industrials,Electrodes & Refractories
Grasim Industries Limited,INE047A01021,GRASIM,Grasim Industries Limited,EQ,Construction Materials,Cement & Cement Products,Commodities,Cement & Cement Products
Gravita India Limited,INE024L01027,GRAVITA,Gravita India Limited,EQ,Metals & Mining,Minerals & Mining,Commodities,Industrial Minerals
Greaves Cotton Limited,INE224A01026,GREAVESCOT,Greaves Cotton Limited,EQ,Capital Goods,Industrial Products,Industrials,Compressors Pumps & Diesel Engines
Greenlam Industries Limited,INE544R01021,GREENLAM,Greenlam Industries Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates
Greenpanel Industries Limited,INE08ZM01014,GREENPANEL,Greenpanel Industries Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates
Greenply Industries Limited,INE461C01038,GREENPLY,Greenply Industries Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Plywood Boards/ Laminates
Orient Green Power Company Limited,INE999K01014,GREENPOWER,Orient Green Power Company Limited,EQ,Power,Power,Utilities,Power Generation
Grindwell Norton Limited,INE536A01023,GRINDWELL,Grindwell Norton Limited,EQ,Capital Goods,Industrial Products,Industrials,Abrasives & Bearings
G R Infraprojects Limited,INE201P01022,GRINFRA,G R Infraprojects Limited,EQ,Construction,Construction,Industrials,Civil Construction
GRM Overseas Limited,INE192H01020,GRMOVER,GRM Overseas Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Other Agricultural Products
The Grob Tea Company Limited,INE646C01018,GROBTEA,The Grob Tea Company Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Tea & Coffee
Billionbrains Garage Ventures Limited,INE0HOQ01053,GROWW,Billionbrains Garage Ventures Limited,EQ,Financial Services,Capital Markets,Financial Services,Stockbroking & Allied
GRP Limited,INE137I01015,GRPLTD,GRP Limited,EQ,Capital Goods,Industrial Products,Industrials,Rubber
Garden Reach Shipbuilders & Engineers Limited,INE382Z01011,GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense
Garware Hi-Tech Films Limited,INE291A01017,GRWRHITECH,Garware Hi-Tech Films Limited,EQ,Capital Goods,Industrial Products,Industrials,Plastic Products - Industrial
Gujarat State Fertilizers & Chemicals Limited,INE026A01025,GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,Chemicals,Fertilizers & Agrochemicals,Commodities,Fertilizers
Global Surfaces Limited,INE0JSX01015,GSLSU,Global Surfaces Limited,EQ,Consumer Durables,Consumer Durables,Consumer Discretionary,Granites & Marbles
Gujarat State Petronet Limited,INE246F01010,GSPL,Gujarat State Petronet Limited,EQ,Oil Gas & Consumable Fuels,Gas,Energy,Gas Transmission/Marketing
GSS Infotech Limited,INE871H01011,GSS,GSS Infotech Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
G-TEC JAINX EDUCATION LIMITED,INE586X01012,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,Consumer Services,Other Consumer Services,Consumer Discretionary,E-Learning
GTL Limited,INE043A01012,GTL,GTL Limited,EQ,Telecommunication,Telecom - Services,Telecommunication,Other Telecom Services
GTL Infrastructure Limited,INE221H01019,GTLINFRA,GTL Infrastructure Limited,EQ,Telecommunication,Telecom - Services,Telecommunication,Telecom - Infrastructure
GTPL Hathway Limited,INE869I01013,GTPL,GTPL Hathway Limited,EQ,Media Entertainment & Publication,Entertainment,Consumer Discretionary,TV Broadcasting & Software Production
Gufic Biosciences Limited,INE742B01025,GUFICBIO,Gufic Biosciences Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Gujarat Alkalies and Chemicals Limited,INE186A01019,GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,Chemicals,Chemicals & Petrochemicals,Commodities,Commodity Chemicals
Gujarat Apollo Industries Limited,INE826C01016,GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,Capital Goods,Industrial Manufacturing,Industrials,Industrial Products
Gujarat Gas Limited,INE844O01030,GUJGASLTD,Gujarat Gas Limited,EQ,Oil Gas & Consumable Fuels,Gas,Energy,LPG/CNG/PNG/LNG Supplier
Gujarat Raffia Industries Limited,INE610B01024,GUJRAFFIA,Gujarat Raffia Industries Limited,EQ,Capital Goods,Industrial Products,Industrials,Packaging
Gujarat Themis Biosyn Limited,INE942C01045,GUJTHEM,Gujarat Themis Biosyn Limited,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Gulf Oil Lubricants India Limited,INE635Q01029,GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,Oil Gas & Consumable Fuels,Petroleum Products,Energy,Lubricants
GP Petroleums Limited,INE586G01017,GULFPETRO,GP Petroleums Limited,EQ,Oil Gas & Consumable Fuels,Petroleum Products,Energy,Lubricants
Gulshan Polyols Limited,INE255D01024,GULPOLY,Gulshan Polyols Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Other Agricultural Products
GVK Power & Infrastructure Limited,INE251H01024,GVKPIL,GVK Power & Infrastructure Limited,BE,Construction,Construction,Industrials,Civil Construction
GE Power India Limited,INE878A01011,GVPIL,GE Power India Limited,BE,Capital Goods,Electrical Equipment,Industrials,Heavy Electrical Equipment
GVP Infotech Limited,INE382T01030,GVPTECH,GVP Infotech Limited,EQ,Information Technology,IT - Services,Information Technology,IT Enabled Services
GE Vernova T&D India Limited,INE200A01026,GVT&D,GE Vernova T&D India Limited,EQ,Capital Goods,Electrical Equipment,Industrials,Heavy Electrical Equipment
Hindustan Aeronautics Limited,INE066F01020,HAL,Hindustan Aeronautics Limited,EQ,Capital Goods,Aerospace & Defense,Industrials,Aerospace & Defense
Halder Venture Limited,INE115S01010,HALDER,Halder Venture Limited,EQ,Fast Moving Consumer Goods,Agricultural Food & other Products,Fast Moving Consumer Goods,Edible Oil
HALEOS LABS LIMITED,INE320X01016,HALEOSLABS,HALEOS LABS LIMITED,EQ,Healthcare,Pharmaceuticals & Biotechnology,Healthcare,Pharmaceuticals
Happiest Minds Technologies Limited,INE419U01012,HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,Information Technology,IT - Software,Information Technology,Computers - Software & Consulting
Happy Forgings Limited,INE330T01021,HAPPYFORGE,Happy Forgings Limited,EQ,Capital Goods,Industrial Products,Industrials,Castings & Forgings
